org,repo,github_url,ai_adoption_date,repo_type
PrestaShop,php-dev-tools,https://github.com/PrestaShop/php-dev-tools,,side
PrestaShop,php-ps-info,https://github.com/PrestaShop/php-ps-info,,side
PrestaShop,php-sql-parser,https://github.com/PrestaShop/php-sql-parser,,side
PrestaShop,phpstan-prestashop,https://github.com/PrestaShop/phpstan-prestashop,,side
PrestaShop,prestashop-bo-themes-package,https://github.com/PrestaShop/prestashop-bo-themes-package,,side
PrestaShop,prestashop-flashlight,https://github.com/PrestaShop/prestashop-flashlight,,side
PrestaShop,prestashop-icon-font,https://github.com/PrestaShop/prestashop-icon-font,,side
PrestaShop,PrestaShop-modules,https://github.com/PrestaShop/PrestaShop-modules,,side
PrestaShop,prestashop-retro,https://github.com/PrestaShop/prestashop-retro,,side
PrestaShop,prestashop-shop-creator,https://github.com/PrestaShop/prestashop-shop-creator,,side
PrestaShop,prestashop-specs,https://github.com/PrestaShop/prestashop-specs,,side
PrestaShop,prestashop-ui-kit,https://github.com/PrestaShop/prestashop-ui-kit,,side
PrestaShop,Prestashop-webservice-lib,https://github.com/PrestaShop/Prestashop-webservice-lib,,side
PrestaShop,PrestaShop,https://github.com/PrestaShop/PrestaShop,2026-04-08,main
PrestaShop,prestashop.github.io,https://github.com/PrestaShop/prestashop.github.io,,side
PrestaShop,presthubot,https://github.com/PrestaShop/presthubot,,side
PrestaShop,productcomments,https://github.com/PrestaShop/productcomments,,side
PrestaShop,ps-docs-theme,https://github.com/PrestaShop/ps-docs-theme,,side
PrestaShop,ps-monitor-module-releases,https://github.com/PrestaShop/ps-monitor-module-releases,,side
PrestaShop,ps-org-theme,https://github.com/PrestaShop/ps-org-theme,,side
PrestaShop,ps-project-metrics,https://github.com/PrestaShop/ps-project-metrics,,side
PrestaShop,ps_apiresources,https://github.com/PrestaShop/ps_apiresources,2026-03-12,side
PrestaShop,ps_banner,https://github.com/PrestaShop/ps_banner,,side
PrestaShop,ps_bestsellers,https://github.com/PrestaShop/ps_bestsellers,,side
PrestaShop,ps_brandlist,https://github.com/PrestaShop/ps_brandlist,,side
PrestaShop,ps_cashondelivery,https://github.com/PrestaShop/ps_cashondelivery,,side
PrestaShop,ps_categoryproducts,https://github.com/PrestaShop/ps_categoryproducts,,side
PrestaShop,ps_categorytree,https://github.com/PrestaShop/ps_categorytree,,side
PrestaShop,ps_chackpayment,https://github.com/PrestaShop/ps_chackpayment,,side
PrestaShop,ps_checkpayment,https://github.com/PrestaShop/ps_checkpayment,,side
PrestaShop,ps_contactinfo,https://github.com/PrestaShop/ps_contactinfo,,side
PrestaShop,ps_crossselling,https://github.com/PrestaShop/ps_crossselling,,side
PrestaShop,ps_currencyselector,https://github.com/PrestaShop/ps_currencyselector,,side
PrestaShop,ps_customeraccountlinks,https://github.com/PrestaShop/ps_customeraccountlinks,,side
PrestaShop,ps_customersignin,https://github.com/PrestaShop/ps_customersignin,,side
PrestaShop,ps_customtext,https://github.com/PrestaShop/ps_customtext,,side
PrestaShop,ps_dataprivacy,https://github.com/PrestaShop/ps_dataprivacy,,side
PrestaShop,ps_distributionapiclient,https://github.com/PrestaShop/ps_distributionapiclient,,side
PrestaShop,ps_emailalerts,https://github.com/PrestaShop/ps_emailalerts,,side
PrestaShop,ps_emailsubscription,https://github.com/PrestaShop/ps_emailsubscription,,side
PrestaShop,ps_facetedsearch,https://github.com/PrestaShop/ps_facetedsearch,,side
PrestaShop,ps_faviconnotificationbo,https://github.com/PrestaShop/ps_faviconnotificationbo,,side
PrestaShop,ps_featuredproducts,https://github.com/PrestaShop/ps_featuredproducts,,side
PrestaShop,ps_fixturescreator,https://github.com/PrestaShop/ps_fixturescreator,,side
PrestaShop,ps_googleanalytics,https://github.com/PrestaShop/ps_googleanalytics,,side
PrestaShop,ps_imageslider,https://github.com/PrestaShop/ps_imageslider,,side
PrestaShop,ps_languageselector,https://github.com/PrestaShop/ps_languageselector,,side
PrestaShop,ps_linklist,https://github.com/PrestaShop/ps_linklist,,side
PrestaShop,ps_mainmenu,https://github.com/PrestaShop/ps_mainmenu,,side
PrestaShop,ps_newproducts,https://github.com/PrestaShop/ps_newproducts,,side
PrestaShop,ps_onepagecheckout,https://github.com/PrestaShop/ps_onepagecheckout,,side
PrestaShop,ps_qualityassurance,https://github.com/PrestaShop/ps_qualityassurance,,side
PrestaShop,ps_searchbar,https://github.com/PrestaShop/ps_searchbar,,side
PrestaShop,ps_searchbarjqauto,https://github.com/PrestaShop/ps_searchbarjqauto,,side
PrestaShop,ps_sharebuttons,https://github.com/PrestaShop/ps_sharebuttons,,side
PrestaShop,ps_shoppingcart,https://github.com/PrestaShop/ps_shoppingcart,,side
PrestaShop,ps_shoppingcarts,https://github.com/PrestaShop/ps_shoppingcarts,,side
PrestaShop,ps_socialfollow,https://github.com/PrestaShop/ps_socialfollow,,side
PrestaShop,ps_specials,https://github.com/PrestaShop/ps_specials,,side
PrestaShop,ps_supplierlist,https://github.com/PrestaShop/ps_supplierlist,,side
PrestaShop,ps_themecusto,https://github.com/PrestaShop/ps_themecusto,,side
PrestaShop,ps_viewedproduct,https://github.com/PrestaShop/ps_viewedproduct,,side
PrestaShop,ps_wirepayment,https://github.com/PrestaShop/ps_wirepayment,,side
PrestaShop,psgdpr,https://github.com/PrestaShop/psgdpr,,side
PrestaShop,pshotfix_ghsaw9f3qc75qgx9,https://github.com/PrestaShop/pshotfix_ghsaw9f3qc75qgx9,,side
PrestaShop,psssst,https://github.com/PrestaShop/psssst,,side
PrestaShop,pstagger,https://github.com/PrestaShop/pstagger,,side
PrestaShop,QANighltResults,https://github.com/PrestaShop/QANighltResults,,side
PrestaShop,qanightlyresults,https://github.com/PrestaShop/qanightlyresults,,side
PrestaShop,Repositories,https://github.com/PrestaShop/Repositories,,side
PrestaShop,seamlessupgradetoolbox,https://github.com/PrestaShop/seamlessupgradetoolbox,,side
PrestaShop,skills,https://github.com/PrestaShop/skills,,side
PrestaShop,statsbestcategories,https://github.com/PrestaShop/statsbestcategories,,side
PrestaShop,statsbestcustomers,https://github.com/PrestaShop/statsbestcustomers,,side
PrestaShop,statsbestmanufacturers,https://github.com/PrestaShop/statsbestmanufacturers,,side
PrestaShop,statsbestproducts,https://github.com/PrestaShop/statsbestproducts,,side
PrestaShop,statsbestsuppliers,https://github.com/PrestaShop/statsbestsuppliers,,side
PrestaShop,statsbestvouchers,https://github.com/PrestaShop/statsbestvouchers,,side
PrestaShop,statscarrier,https://github.com/PrestaShop/statscarrier,,side
PrestaShop,statscatalog,https://github.com/PrestaShop/statscatalog,,side
PrestaShop,statscheckup,https://github.com/PrestaShop/statscheckup,,side
PrestaShop,statsdata,https://github.com/PrestaShop/statsdata,,side
PrestaShop,statsforecast,https://github.com/PrestaShop/statsforecast,,side
PrestaShop,statsnewsletter,https://github.com/PrestaShop/statsnewsletter,,side
PrestaShop,statspersonalinfos,https://github.com/PrestaShop/statspersonalinfos,,side
PrestaShop,statsproduct,https://github.com/PrestaShop/statsproduct,,side
PrestaShop,statsregistrations,https://github.com/PrestaShop/statsregistrations,,side
PrestaShop,statssales,https://github.com/PrestaShop/statssales,,side
PrestaShop,statssearch,https://github.com/PrestaShop/statssearch,,side
PrestaShop,statsstock,https://github.com/PrestaShop/statsstock,,side
PrestaShop,stylelint-browser-compatibility,https://github.com/PrestaShop/stylelint-browser-compatibility,,side
PrestaShop,stylelint-config,https://github.com/PrestaShop/stylelint-config,,side
PrestaShop,tcpdf,https://github.com/PrestaShop/tcpdf,,side
PrestaShop,test-scenarios,https://github.com/PrestaShop/test-scenarios,,side
PrestaShop,topcontributors,https://github.com/PrestaShop/topcontributors,,side
PrestaShop,toptranslators,https://github.com/PrestaShop/toptranslators,,side
PrestaShop,traces,https://github.com/PrestaShop/traces,,side
PrestaShop,TranslationFiles,https://github.com/PrestaShop/TranslationFiles,,side
PrestaShop,translationtoolsbundle,https://github.com/PrestaShop/translationtoolsbundle,,side
PrestaShop,ts-pw-d365-ce-fo,https://github.com/PrestaShop/ts-pw-d365-ce-fo,,side
PrestaShop,ui-testing-library,https://github.com/PrestaShop/ui-testing-library,,side
PrestaShop,user-documentation-1.6,https://github.com/PrestaShop/user-documentation-1.6,,side
PrestaShop,user-documentation-en,https://github.com/PrestaShop/user-documentation-en,,side
PrestaShop,user-documentation-es,https://github.com/PrestaShop/user-documentation-es,,side
PrestaShop,user-documentation-fa,https://github.com/PrestaShop/user-documentation-fa,,side
PrestaShop,user-documentation-fr,https://github.com/PrestaShop/user-documentation-fr,,side
PrestaShop,user-documentation-it,https://github.com/PrestaShop/user-documentation-it,,side
PrestaShop,user-documentation-nl,https://github.com/PrestaShop/user-documentation-nl,,side
PrestaShop,user-documentation-v8-en,https://github.com/PrestaShop/user-documentation-v8-en,,side
PrestaShop,user-documentation-v8-fr,https://github.com/PrestaShop/user-documentation-v8-fr,,side
PrestaShop,vagrant,https://github.com/PrestaShop/vagrant,,side
PrestaShop,vatnumber,https://github.com/PrestaShop/vatnumber,,side
PrestaShop,watermark,https://github.com/PrestaShop/watermark,,side
PrestaShop,webservice-postman-examples,https://github.com/PrestaShop/webservice-postman-examples,,side
PrestaShop,welcome,https://github.com/PrestaShop/welcome,,side
PrestaShop,ws-client,https://github.com/PrestaShop/ws-client,,side
PrestaShop,zip-archives,https://github.com/PrestaShop/zip-archives,,side
SeleniumHQ,.github,https://github.com/SeleniumHQ/.github,,side
SeleniumHQ,ansible-selenium,https://github.com/SeleniumHQ/ansible-selenium,,side
SeleniumHQ,buck,https://github.com/SeleniumHQ/buck,,side
SeleniumHQ,conf-archive,https://github.com/SeleniumHQ/conf-archive,,side
SeleniumHQ,docker-selenium,https://github.com/SeleniumHQ/docker-selenium,,side
SeleniumHQ,docs,https://github.com/SeleniumHQ/docs,,side
SeleniumHQ,fluent-selenium,https://github.com/SeleniumHQ/fluent-selenium,,side
SeleniumHQ,heroku-selenium,https://github.com/SeleniumHQ/heroku-selenium,,side
SeleniumHQ,htmlunit-driver,https://github.com/SeleniumHQ/htmlunit-driver,,side
SeleniumHQ,irc-logs,https://github.com/SeleniumHQ/irc-logs,,side
SeleniumHQ,mobile-spec,https://github.com/SeleniumHQ/mobile-spec,,side
SeleniumHQ,mta-sts,https://github.com/SeleniumHQ/mta-sts,,side
SeleniumHQ,selbot2,https://github.com/SeleniumHQ/selbot2,,side
SeleniumHQ,selenium-assistant,https://github.com/SeleniumHQ/selenium-assistant,,side
SeleniumHQ,selenium-google-code-issue-archive,https://github.com/SeleniumHQ/selenium-google-code-issue-archive,,side
SeleniumHQ,selenium-ide,https://github.com/SeleniumHQ/selenium-ide,,side
SeleniumHQ,selenium-logs,https://github.com/SeleniumHQ/selenium-logs,,side
SeleniumHQ,selenium-maven-release-test,https://github.com/SeleniumHQ/selenium-maven-release-test,,side
SeleniumHQ,selenium,https://github.com/SeleniumHQ/selenium,2026-01-19,main
SeleniumHQ,selenium_manager_artifacts,https://github.com/SeleniumHQ/selenium_manager_artifacts,,side
SeleniumHQ,seleniumhq.github.io,https://github.com/SeleniumHQ/seleniumhq.github.io,2026-07-07,side
SeleniumHQ,sosc,https://github.com/SeleniumHQ/sosc,,side
SeleniumHQ,www.seleniumhq.org,https://github.com/SeleniumHQ/www.seleniumhq.org,,side
anthropics,agent-sdk-workshop,https://github.com/anthropics/agent-sdk-workshop,,side
anthropics,amulet2,https://github.com/anthropics/amulet2,,side
anthropics,anthropic-bedrock-python,https://github.com/anthropics/anthropic-bedrock-python,,side
anthropics,anthropic-bedrock-typescript,https://github.com/anthropics/anthropic-bedrock-typescript,,side
anthropics,anthropic-cli,https://github.com/anthropics/anthropic-cli,,side
anthropics,anthropic-retrieval-demo,https://github.com/anthropics/anthropic-retrieval-demo,,side
anthropics,anthropic-sdk-csharp,https://github.com/anthropics/anthropic-sdk-csharp,2026-08-25,side
anthropics,anthropic-sdk-go,https://github.com/anthropics/anthropic-sdk-go,,side
anthropics,anthropic-sdk-java,https://github.com/anthropics/anthropic-sdk-java,,side
anthropics,anthropic-sdk-php,https://github.com/anthropics/anthropic-sdk-php,,side
anthropics,anthropic-sdk-python,https://github.com/anthropics/anthropic-sdk-python,,side
anthropics,anthropic-sdk-ruby,https://github.com/anthropics/anthropic-sdk-ruby,2026-08-28,side
anthropics,anthropic-sdk-typescript,https://github.com/anthropics/anthropic-sdk-typescript,2026-06-09,side
anthropics,anthropic-tokenizer-typescript,https://github.com/anthropics/anthropic-tokenizer-typescript,,side
anthropics,anthropic-tools,https://github.com/anthropics/anthropic-tools,,side
anthropics,apitools,https://github.com/anthropics/apitools,,side
anthropics,argo-cd,https://github.com/anthropics/argo-cd,,side
anthropics,attribution-graphs-frontend,https://github.com/anthropics/attribution-graphs-frontend,,side
anthropics,axt-verify,https://github.com/anthropics/axt-verify,,side
anthropics,beam,https://github.com/anthropics/beam,,side
anthropics,blobfile,https://github.com/anthropics/blobfile,,side
anthropics,buffa,https://github.com/anthropics/buffa,2026-03-07,side
anthropics,cargo-nix-plugin,https://github.com/anthropics/cargo-nix-plugin,,side
anthropics,cfaulthandler,https://github.com/anthropics/cfaulthandler,,side
anthropics,claude-agent-sdk-demos,https://github.com/anthropics/claude-agent-sdk-demos,,side
anthropics,claude-agent-sdk-python,https://github.com/anthropics/claude-agent-sdk-python,2025-07-20,side
anthropics,claude-agent-sdk-typescript,https://github.com/anthropics/claude-agent-sdk-typescript,2025-10-06,side
anthropics,claude-ai-mcp,https://github.com/anthropics/claude-ai-mcp,,side
anthropics,claude-code-action,https://github.com/anthropics/claude-code-action,2025-05-19,side
anthropics,claude-code-base-action,https://github.com/anthropics/claude-code-base-action,2025-05-19,side
anthropics,claude-code-monitoring-guide,https://github.com/anthropics/claude-code-monitoring-guide,,side
anthropics,claude-code-security-review,https://github.com/anthropics/claude-code-security-review,2025-08-06,side
anthropics,claude-code,https://github.com/anthropics/claude-code,2025-07-29,main
anthropics,claude-constitution,https://github.com/anthropics/claude-constitution,,side
anthropics,claude-cookbooks,https://github.com/anthropics/claude-cookbooks,2025-09-08,side
anthropics,claude-desktop-buddy,https://github.com/anthropics/claude-desktop-buddy,,side
anthropics,claude-for-financial-advisors,https://github.com/anthropics/claude-for-financial-advisors,,side
anthropics,claude-for-legal,https://github.com/anthropics/claude-for-legal,2026-05-15,side
anthropics,claude-plugins-community,https://github.com/anthropics/claude-plugins-community,,side
anthropics,claude-plugins-official,https://github.com/anthropics/claude-plugins-official,,side
anthropics,claude-quickstarts,https://github.com/anthropics/claude-quickstarts,2025-02-24,side
anthropics,claude-tag-plugins,https://github.com/anthropics/claude-tag-plugins,,side
anthropics,claude-tag-wif-gateway-sample,https://github.com/anthropics/claude-tag-wif-gateway-sample,,side
anthropics,ClaudeForFoundationModels,https://github.com/anthropics/ClaudeForFoundationModels,,side
anthropics,claudes-c-compiler,https://github.com/anthropics/claudes-c-compiler,,side
anthropics,code-migration-kit-with-claude-code,https://github.com/anthropics/code-migration-kit-with-claude-code,2026-07-08,side
anthropics,commerce-agents,https://github.com/anthropics/commerce-agents,2026-08-31,side
anthropics,ConstitutionalHarmlessnessPaper,https://github.com/anthropics/ConstitutionalHarmlessnessPaper,,side
anthropics,courses,https://github.com/anthropics/courses,,side
anthropics,cryptography-research-demo,https://github.com/anthropics/cryptography-research-demo,,side
anthropics,cwc-long-running-agents,https://github.com/anthropics/cwc-long-running-agents,,side
anthropics,cwc-workshops,https://github.com/anthropics/cwc-workshops,,side
anthropics,DecompositionFaithfulnessPaper,https://github.com/anthropics/DecompositionFaithfulnessPaper,,side
anthropics,defending-code-reference-harness,https://github.com/anthropics/defending-code-reference-harness,2026-05-22,side
anthropics,devcontainer-features,https://github.com/anthropics/devcontainer-features,,side
anthropics,evals,https://github.com/anthropics/evals,,side
anthropics,fermats-last-theorem,https://github.com/anthropics/fermats-last-theorem,,side
anthropics,financial-services,https://github.com/anthropics/financial-services,2026-02-23,side
anthropics,formal-math,https://github.com/anthropics/formal-math,,side
anthropics,github-mcp-server,https://github.com/anthropics/github-mcp-server,,side
anthropics,headvis,https://github.com/anthropics/headvis,,side
anthropics,healthcare,https://github.com/anthropics/healthcare,,side
anthropics,hh-rlhf,https://github.com/anthropics/hh-rlhf,,side
anthropics,homebrew-claude,https://github.com/anthropics/homebrew-claude,,side
anthropics,homebrew-tap,https://github.com/anthropics/homebrew-tap,,side
anthropics,html-effectiveness,https://github.com/anthropics/html-effectiveness,,side
anthropics,httpcore,https://github.com/anthropics/httpcore,,side
anthropics,hypercorn,https://github.com/anthropics/hypercorn,,side
anthropics,jacobian-lens,https://github.com/anthropics/jacobian-lens,,side
anthropics,k12-teacher-skills,https://github.com/anthropics/k12-teacher-skills,,side
anthropics,knowledge-work-plugins,https://github.com/anthropics/knowledge-work-plugins,,side
anthropics,launch-your-agent,https://github.com/anthropics/launch-your-agent,2026-06-17,side
anthropics,leptos-chartistry,https://github.com/anthropics/leptos-chartistry,,side
anthropics,life-sciences,https://github.com/anthropics/life-sciences,,side
anthropics,maestro,https://github.com/anthropics/maestro,,side
anthropics,mockturtle,https://github.com/anthropics/mockturtle,,side
anthropics,model-cards,https://github.com/anthropics/model-cards,,side
anthropics,mythos-5-incident-transcript,https://github.com/anthropics/mythos-5-incident-transcript,,side
anthropics,nix-eval-jobs,https://github.com/anthropics/nix-eval-jobs,,side
anthropics,oncall-kit,https://github.com/anthropics/oncall-kit,2026-08-06,side
anthropics,OpenROAD-flow-scripts,https://github.com/anthropics/OpenROAD-flow-scripts,2026-04-27,side
anthropics,original_performance_takehome,https://github.com/anthropics/original_performance_takehome,,side
anthropics,orjson,https://github.com/anthropics/orjson,,side
anthropics,political-neutrality-eval,https://github.com/anthropics/political-neutrality-eval,,side
anthropics,prompt-eng-interactive-tutorial,https://github.com/anthropics/prompt-eng-interactive-tutorial,,side
anthropics,PySvelte,https://github.com/anthropics/PySvelte,,side
anthropics,python-tblib,https://github.com/anthropics/python-tblib,,side
anthropics,raft-rs,https://github.com/anthropics/raft-rs,,side
anthropics,rayon,https://github.com/anthropics/rayon,,side
